lon,lat,minute
-122.42371579899998,37.80539189900003,679
-122.42341996299996,37.76107902100006,1082
-122.42174299499999,37.76834101800006,1271
-122.39491797199997,37.781730982000056,945
-122.41185287899998,37.78493969700003,917
-122.42649149399995,37.76457738600004,1055
-122.40564561699995,37.80571503500005,771
-122.39487058199995,37.79644065900004,1197
-122.46576581299996,37.72303697000007,1285
-122.38993660099999,37.78115969400005,782
-122.44005631699997,37.76442124500005,1361
-122.43499989699995,37.76089005100005,1089
-122.50544199799998,37.74284699800006,599
-122.43031600599994,37.79754298200004,729
-122.42361500999999,37.76176801300005,584
-122.47566503599995,37.784555013000045,734
-122.42226525299998,37.806500362000065,719
-122.46160003499995,37.78283001800003,454
-122.40850526199995,37.78104423800005,136
-122.43877301099997,37.805238994000035,548
-122.42625380299995,37.76182840100006,1090
-122.43032056699997,37.77125248200008,1272
-122.39245997899997,37.78801699100006,855
-122.40688955799999,37.80519024600005,990
-122.42255402799998,37.731108981000034,170
-122.48736600499996,37.77827499800003,672
-122.43038901199998,37.793629010000075,597
-122.40828259599999,37.80442629400005,556
-122.41085398099995,37.79384400600003,483
-122.415600988,37.79175498400008,689
-122.41616299499998,37.788546014000076,1085
-122.38938953699994,37.78026612000008,968
-122.42573102099999,37.76184198300007,1091
-122.42371579899998,37.80539189900003,680
-122.43076896399998,37.75980099000003,250
-122.41268299599994,37.758505986000046,1043
-122.42110948199996,37.80651074600007,780
-122.44562798299995,37.711420016000034,463
-122.41369198999996,37.80584610400007,740
-122.40742896799998,37.798889995000025,498
-122.45200300699997,37.71722301700004,1089
-122.49176901899995,37.75306801700003,777
-122.41904717199998,37.807886034000035,1162
-122.40777945299999,37.80643414700006,653
-122.38846243799998,37.781871866000074,674
-122.39712144799995,37.798362876000056,905
-122.47726172699998,37.77985306000005,879
-122.47763201699996,37.77452799400004,1397
-122.39443036099999,37.795974304000026,954
-122.42793834899999,37.756312914000034,1235
-122.51089999999999,37.77004000000005,41
-122.39467701799998,37.79623970500006,890
-122.39251798099997,37.721020019000036,1216
-122.40652598599996,37.79722501400005,1398
-122.43581141599998,37.77355939100005,581
-122.48717498199994,37.77388698800007,643
-122.42361500999999,37.76176801300005,595
-122.506503985,37.78106701000007,126
-122.45576497299999,37.77578398000003,1411
-122.43929702899999,37.79950494000008,589
-122.51032001499999,37.773468018000074,990
-122.49064299399998,37.74578401700006,785
-122.42614500299999,37.72148198800005,1403
-122.44368103399995,37.76905498800005,300
-122.41224842899999,37.805728041000066,934
-122.45071898299994,37.71084598200008,1390
-122.50053598699998,37.76323400800004,760
-122.44350347599999,37.78273121400008,981
-122.39232896899995,37.79277598400006,915
-122.40894779299998,37.807225301000074,665
-122.39486831999994,37.79643839800008,1124
-122.43060995899998,37.79140700900007,1098
-122.416162139,37.80729170300003,734
-122.39111993399996,37.78242313800007,821
-122.41969898499997,37.72627300000005,610
-122.42983069899998,37.777032322000025,418
-122.38840209799997,37.78261480800006,1136
-122.41086418499998,37.75264105600007,578
-122.40554597299996,37.71324500800006,1108
-122.42207684399995,37.77691779300005,1066
-122.42678898499997,37.77623199300007,411
-122.40565148799999,37.79710723900007,569
-122.39454124099996,37.79610126000006,994
-122.40688955799999,37.80519024600005,990
-122.40194677099998,37.803426252000065,671
-122.39288996999994,37.776458011000045,1424
-122.44821597899994,37.77108801900005,772
-122.43043100599999,37.71938198600003,1246
-122.42487195999996,37.75803701800004,622
-122.40190797599996,37.73343600700008,1223
-122.41157236199996,37.766241929000046,29
-122.42140897699994,37.80766999700006,796
-122.40813079399999,37.786955601000045,853
-122.42289324599994,37.80627102300008,768
-122.41728901999994,37.75495998000008,951
-122.38907663499998,37.781751590000056,1000
-122.40212329599996,37.79487169600003,682
-122.46748999999994,37.739900000000034,706
-122.43252296099996,37.76171499800006,1192
-122.48113507399995,37.78038724600003,1263
-122.38993073899996,37.78377625300004,928
-122.41526797499995,37.787599991000036,346
-122.43471298499998,37.720152995000035,701
-122.419249966,37.77709000600004,598
-122.41481779299994,37.74931224900007,567
-122.50311576599995,37.72524522500004,859
-122.42881899799994,37.72788002000004,1107
-122.41948298299997,37.75479699400006,1249
-122.43317297799996,37.771613983000066,1173
-122.41668996499999,37.76666501400007,1160
-122.39298300899998,37.75371099300003,1281
-122.50626199999999,37.739212018000046,1092
-122.41592796599997,37.788575980000076,481
-122.41272700099995,37.78994499600003,627
-122.45914204199994,37.76494198800003,846
-122.42877096999996,37.775802001000045,759
-122.41037202199999,37.80538400100005,571
-122.41918902499998,37.78348785400004,678
